id sex body.W body.H waist.C hip.C antb.C neck.C
1 m 88 1782 901 1094 254 378
3 f 70 1631 794 1000 275 344
5 m 80 1792 840 1047 262 362
7 f 58 1760 650 980 220 280
9 m 58 1710 710 905 230 360
11 m 62 1780 710 890 235 340
13 f 54 1603 682 975 212 312
15 m 81 1718 NA 1030 270 380
17 m 72.5 1720 810 950 270 380
19 m 70.5 1778 802 987 253 362
21 m 78 1906 805 970 280 380
23 f 104 1725 1005 1300 268 367
25 m 85.5 1807 810 1030 280 370
27 m 86 1815 880 1080 275 380
29 f 66 1803 705 1030 NA 315
31 f 69.5 1692 750 975 250 320
33 m 69 1840 730 930 250 340
35 f 61 1823 640 980 225 310
37 f 50 1625 625 915 215 300
39 m 68 1848 730 980 245 345
41 m 75 1757 NA NA 270 370
43 f 51 1563 645 945 220 280
45 f 86 1765 850 979 267 348
47 f 51.5 1640 645 900 220 300
49 f 57.5 1638 660 950 225 305
52 m 85.5 1869 800 1040 265 375
54 f 49 1579 620 920 205 290
56 m 82.5 1726 885 1000 NA 395
58 f 68 1715 720 975 240 320
60 f 59 1626 715 970 235 320
62 f 61.5 1661 730 960 230 325
66 f 47.9 1591 625 874 NA 298
69 f 63.5 1684 665 1010 NA 310
71 m 89.5 1782 915 1080 300 400
73 m 52 1744 650 840 215 330
75 m 109 1769 1000 1160 310 410
77 f 57.5 1677 660 965 220 295
79 f 72.5 1613 810 1040 250 320
81 f 58.5 1695 660 NA 230 290
83 f 61.5 1680 685 1030 240 300
85 f 67 1765 695 990 250 330
87 f 57.5 1657 665 945 225 320
89 F 58.5 1678 650 955 225 310
91 f 58.5 1644 655 983 229 320
93 f 59 1660 680 955 225 310
96 m 91 1882 830 1070 295 375
98 m 64.5 1813 800 930 245 355
100 f 63.5 1728 635 965 230 305
102 m 66.5 1855 700 910 260 335
104 m 65.5 1763 705 940 240 340
107 m 90 1905 835 1010 280 400
109 m 91.5 1803 870 1050 290 385
112 m 78.5 1867 780 990 275 350
114 m 64.5 1721 730 890 250 345
116 m 72 1855 885 970 265 360
118 m 68 1758 NA NA 265 345
120 m 75.5 1820 790 960 265 355
122 m 72.5 1804 740 970 275 345
124 m 82 1889 775 1015 255 355
126 f 54.5 1660 637 947 215 307
129 f 64.5 1725 736 1014 221 330
132 f 62 1645 715 975 230 300
134 f 65.5 1765 695 1010 225 305
136 f 54 1608 670 960 220 290
138 f 51 1593 660 920 220 310
141 f 52 1635 660 930 220 290
143 f 57 1693 660 970 225 305
145 f 62.5 1630 750 1000 245 315
147 f 56 1677 662 940 NA 298
149 f 69 1590 800 977 240 348
151 f 52 1591 660 910 225 300
153 m 68.5 1756 825 920 245 345
155 f 67 1611 760 1060 250 300
157 f 60.5 1707 635 1010 215 280
161 f 61.5 1698 685 965 230 305
163 f 73.5 1793 775 1055 245 330
165 f 65 1745 730 1000 240 300
167 f 56 1763 630 955 225 310
169 f 59 1658 685 960 230 315
171 f 67.5 1678 670 1020 240 320
173 f 71 1770 760 1020 235 310
175 m 68 1900 NA 970 245 355
178 m 64.5 1674 745 950 278 345
180 m 59.5 1698 710 920 235 335
184 m 60 1703 765 880 240 350
186 m 68.5 1850 800 910 255 350
188 m 71.5 1800 790 960 260 365
