id	pop	sex	skull.pH	face.H
416	egant	m	149	123
417	egant	m	140	112
420	egant	m	134	NA
421	egant	m	137	NA
422	egant	m	133	123
423	egant	m	135	118
424	egant	m	138	116
425	egant	m	134	116
426	egant	m	129	126
427	egant	m	132	NA
428	egant	m	139	107
429	egant	m	140	125
430	egant	m	133	113
431	egant	m	129	NA
433	egant	m	135	113
434	egant	m	144	118
435	egant	m	137	116
436	egant	m	135	116
437	egant	m	135	119
438	egant	m	130	117
439	egant	m	140	NA
440	egant	m	132	118
441	egant	m	139	NA
442	egant	m	137	NA
443	egant	m	130	NA
444	egant	m	133	NA
445	egant	m	138	NA
446	egant	m	127	NA
447	egant	m	134	NA
448	egant	m	127	NA
449	egant	m	134	NA
450	egant	m	137	NA
451	egant	m	133	105
452	egant	m	145	116
453	egant	m	137	NA
454	egant	m	134	NA
455	egant	m	136	120
477	egant	m	NA	85
478	egant	m	134	NA
479	egant	m	135	NA
480	egant	m	138	NA
481	egant	m	140	NA
482	egant	m	135	NA
483	egant	m	133	NA
489	egant	m	144	136
490	egant	m	145	130
491	egant	m	138	119
492	egant	m	134	117
493	egant	m	143	123
494	egant	m	140	126
495	egant	m	139	113
496	egant	m	143	105
497	egant	m	133	122
498	egant	m	138	123
499	egant	m	136	131
500	egant	m	134	120
501	egant	m	132	124
502	egant	m	148	119
503	egant	m	138	120
504	egant	m	138	116
505	egant	m	133	123
506	egant	m	139	118
507	egant	m	139	111
508	egant	m	132	102
509	egant	m	136	114
510	egant	m	142	116
511	egant	m	140	110
512	egant	m	143	123
513	egant	m	136	NA
514	egant	m	138	115
515	egant	m	136	113
516	egant	m	132	109
517	egant	m	138	120
518	egant	m	128	119
519	egant	m	137	114
520	egant	m	135	110
521	egant	m	129	114
522	egant	m	135	108
523	egant	m	139	111
524	egant	m	141	107
525	egant	m	130	109
526	egant	m	129	113
527	egant	m	135	111
528	egant	m	133	106
529	egant	m	133	108
530	egant	m	133	106
531	egant	m	140	120
532	egant	m	137	103
533	egant	m	134	119
534	egant	m	134	103
535	egant	m	136	103
536	egant	m	128	110
537	egant	m	131	111
538	egant	m	131	103
539	egant	m	131	107
540	egant	m	133	NA
541	egant	m	149	NA
542	egant	m	134	NA
543	egant	m	142	NA
544	egant	m	140	NA
545	egant	m	139	NA
546	egant	m	133	NA
547	egant	m	143	NA
548	egant	m	143	NA
549	egant	m	137	NA
550	egant	m	141	NA
551	egant	m	132	NA
552	egant	m	131	NA
553	egant	m	130	NA
554	egant	m	135	NA
555	egant	m	137	127
556	egant	m	138	130
557	egant	m	141	116
558	egant	m	146	122
559	egant	m	144	117
560	egant	m	134	114
561	egant	m	137	128
562	egant	m	142	133
563	egant	m	138	125
564	egant	m	141	124
565	egant	m	132	116
566	egant	m	137	127
567	egant	m	144	116
568	egant	m	139	123
569	egant	m	140	110
570	egant	m	144	110
571	egant	m	138	110
572	egant	m	138	123
573	egant	m	141	121
574	egant	m	140	114
575	egant	m	138	116
576	egant	m	136	121
577	egant	m	140	123
578	egant	m	139	117
579	egant	m	140	123
580	egant	m	137	129
581	egant	m	141	120
582	egant	m	134	114
583	egant	m	132	130
584	egant	m	139	115
585	egant	m	139	121
586	egant	m	NA	112
587	egant	m	142	NA
588	egant	m	132	116
589	egant	m	139	113
590	egant	m	142	114
591	egant	m	132	118
592	egant	m	142	111
593	egant	m	133	114
594	egant	m	127	108
595	egant	m	133	104
596	egant	m	135	122
597	egant	m	129	110
598	egant	m	144	111
599	egant	m	127	107
600	egant	m	130	114
601	egant	m	139	119
602	egant	m	136	111
603	egant	m	128	110
604	egant	m	135	114
605	egant	m	134	109
606	egant	m	134	115
607	egant	m	132	108
608	egant	m	136	107
609	egant	m	138	NA
610	egant	m	135	116
611	egant	m	137	122
612	egant	m	138	117
613	egant	m	136	108
614	egant	m	137	103
615	egant	m	132	110
616	egant	m	130	109
617	egant	m	132	105
618	egant	m	131	109
619	egant	m	138	113
620	egant	m	130	111
621	egant	m	127	105
622	egant	m	128	110
623	egant	m	133	101
624	egant	m	137	111
625	egant	m	132	104
626	egant	m	127	114
627	egant	m	134	105
628	egant	m	130	110
629	egant	m	139	115
630	egant	m	136	100
631	egant	m	130	106
632	egant	m	135	112
633	egant	m	137	116
634	egant	m	135	109
635	egant	m	134	118
636	egant	m	140	118
637	egant	m	140	115
638	egant	m	140	NA
639	egant	m	128	114
640	egant	m	127	NA
641	egant	m	133	NA
642	egant	m	124	NA
643	egant	m	133	124
644	egant	m	140	114
645	egant	m	138	110
646	egant	m	139	107
647	egant	m	133	108
648	egant	m	138	108
649	egant	m	138	NA
650	egant	m	134	103
652	egant	m	138	115
653	egant	m	129	107
654	egant	m	130	122
655	egant	m	137	112
656	egant	m	136	113
657	egant	m	142	NA
658	egant	m	133	NA
744	egant	m	142	107
745	egant	m	143	NA
746	egant	m	129	NA
747	egant	m	137	NA
415	egant	m	140	NA
418	egant	f	135	112
419	egant	f	134	NA
432	egant	f	138	NA
456	egant	f	NA	NA
457	egant	f	132	104
458	egant	f	137	110
459	egant	f	135	107
460	egant	f	120	98
461	egant	f	132	113
462	egant	f	126	110
463	egant	f	132	NA
464	egant	f	131	NA
465	egant	f	134	NA
466	egant	f	124	NA
467	egant	f	127	110
468	egant	f	129	NA
469	egant	f	137	NA
470	egant	f	136	NA
471	egant	f	140	NA
472	egant	f	131	NA
473	egant	f	128	NA
474	egant	f	127	117
475	egant	f	125	NA
476	egant	f	131	NA
484	egant	f	122	NA
485	egant	f	126	NA
486	egant	f	132	NA
487	egant	f	132	NA
488	egant	f	133	NA
651	egant	f	134	NA
659	egant	f	127	102
660	egant	f	137	111
661	egant	f	133	111
662	egant	f	130	108
663	egant	f	132	112
664	egant	f	132	115
665	egant	f	139	104
666	egant	f	123	109
667	egant	f	140	107
668	egant	f	134	98
669	egant	f	127	111
670	egant	f	128	108
671	egant	f	139	103
672	egant	f	130	114
673	egant	f	135	112
674	egant	f	123	118
675	egant	f	130	116
676	egant	f	126	118
677	egant	f	129	110
678	egant	f	131	104
679	egant	f	127	111
680	egant	f	131	106
681	egant	f	134	118
682	egant	f	123	104
683	egant	f	127	102
684	egant	f	130	97
685	egant	f	133	95
686	egant	f	126	107
687	egant	f	135	102
688	egant	f	133	109
689	egant	f	125	95
690	egant	f	135	112
691	egant	f	132	106
692	egant	f	126	98
693	egant	f	132	99
694	egant	f	128	102
695	egant	f	136	NA
696	egant	f	134	110
697	egant	f	129	115
698	egant	f	131	NA
699	egant	f	NA	103
700	egant	f	136	NA
701	egant	f	128	NA
702	egant	f	124	104
703	egant	f	131	110
704	egant	f	121	112
705	egant	f	123	115
706	egant	f	131	100
707	egant	f	131	110
708	egant	f	126	103
709	egant	f	123	102
710	egant	f	129	105
711	egant	f	135	100
712	egant	f	132	104
713	egant	f	136	118
714	egant	f	128	105
715	egant	f	130	106
716	egant	f	132	107
717	egant	f	129	104
718	egant	f	NA	108
719	egant	f	129	109
720	egant	f	126	109
721	egant	f	134	107
722	egant	f	141	108
723	egant	f	124	107
724	egant	f	134	118
725	egant	f	142	119
726	egant	f	132	109
727	egant	f	127	110
728	egant	f	127	NA
729	egant	f	128	NA
730	egant	f	127	NA
731	egant	f	129	NA
732	egant	f	125	111
733	egant	f	129	102
734	egant	f	141	101
735	egant	f	134	106
748	egant	f	132	102
749	egant	f	126	NA
750	egant	f	130	111
